@RELATION post-classification

@ATTRIBUTE IsQuote NUMERIC
@ATTRIBUTE TitleSim NUMERIC
@ATTRIBUTE InitSim NUMERIC
@ATTRIBUTE ThreadSim NUMERIC
@ATTRIBUTE QuestionMark NUMERIC
@ATTRIBUTE Duplicate NUMERIC
@ATTRIBUTE FiveW1H NUMERIC
@ATTRIBUTE AbsPosition NUMERIC
@ATTRIBUTE NormPosition NUMERIC
@ATTRIBUTE PostLength NUMERIC
@ATTRIBUTE PostLengthUnique NUMERIC
@ATTRIBUTE PostLengthStemmed NUMERIC
@ATTRIBUTE PostLengthUniqueStemmed NUMERIC
@ATTRIBUTE UserPostCount NUMERIC
@ATTRIBUTE IsStarter NUMERIC
@ATTRIBUTE UserAuth NUMERIC
@ATTRIBUTE Thanks NUMERIC
@ATTRIBUTE ExclamationMark NUMERIC
@ATTRIBUTE NegativeFeedback NUMERIC
@ATTRIBUTE SentimentScoreProm NUMERIC
@ATTRIBUTE Class {1, 2, 3, 4, 5, 6, 7, 8}
@ATTRIBUTE postLengthFull NUMERIC
@ATTRIBUTE minNeg NUMERIC
@ATTRIBUTE promNeg NUMERIC
@ATTRIBUTE maxPos NUMERIC
@ATTRIBUTE promPos NUMERIC
@ATTRIBUTE PostThreadCount NUMERIC
@ATTRIBUTE NofiveW1H NUMERIC
@ATTRIBUTE NoQuestionMark NUMERIC
@ATTRIBUTE UserPostIniCount NUMERIC
@ATTRIBUTE UserPostReplieCount NUMERIC


@DATA
0,  0.0963565967400498,  0.9999999999999990,  0.6747436442922630,1,0,1,1,  0.2500000000000000,52,47,52,45,5,1,  0.0053329023917259,0,1,0,1,1,158,1,1,4,3,4,1,4,1,4
0,  0.0357036894541045,  0.2470752113239900,  0.5672789246151990,0,0,0,4,  1.0000000000000000,40,39,40,38,5,1,  0.0053329023917259,1,1,0,3,4,96,1,1,4,3,4,0,0,1,4
0,  0.0262071194725640,  0.2093299205702860,  0.5766029870455590,0,0,0,8,  0.8888888888888888,27,24,27,24,9,0,  0.0143826761473820,0,0,0,1,5,55,1,1,2,2,9,0,0,0,9
0,  0.0000000000000000,  0.0613128844164158,  0.2847886561358000,0,0,0,9,  1.0000000000000000,9,8,9,8,9,0,  0.0143826761473820,0,0,0,2,5,13,2,2,2,2,9,0,0,0,9
0,  0.0247259602298969,  0.0532833672617586,  0.2480527304956520,0,0,0,5,  0.6250000000000000,5,5,5,5,9,0,  0.0143826761473820,0,0,0,1,5,25,2,2,2,2,8,0,0,0,9
0,  0.0000000000000000,  0.0196831248437535,  0.2197144408297640,0,0,0,2,  0.1666666666666667,7,6,7,6,9,0,  0.0143826761473820,0,0,0,2,5,9,2,2,2,2,12,0,0,0,9
0,  0.1496726997244450,  0.1302483462311090,  0.3930927465318720,0,0,1,4,  0.3333333333333333,8,8,8,8,9,0,  0.0143826761473820,0,0,0,1,5,16,0,0,3,3,12,1,0,0,9
0,  0.0000000000000000,  0.1209631355065640,  0.2970869827951470,0,0,0,6,  0.5000000000000000,7,7,7,7,9,0,  0.0143826761473820,0,0,0,1,5,11,2,2,2,2,12,0,0,0,9
0,  0.0583223571799080,  0.0828841895095497,  0.4132885940333160,0,0,0,10,  0.8333333333333334,24,22,24,22,9,0,  0.0143826761473820,0,0,0,2,5,34,2,2,3,3,12,0,0,0,9
0,  0.0401596046135516,  0.0689882740895348,  0.2819335834563220,0,0,0,12,  1.0000000000000000,5,5,5,5,9,0,  0.0143826761473820,0,0,0,1,5,15,0,0,2,2,12,0,0,0,9
0,  0.0154589551239339,  0.0899642272960854,  0.3300823223185450,0,1,0,6,  0.6000000000000000,9,8,9,8,9,0,  0.0143826761473820,0,0,0,1,5,20,2,2,2,2,10,0,0,0,9
