@RELATION post-classification

@ATTRIBUTE IsQuote NUMERIC
@ATTRIBUTE TitleSim NUMERIC
@ATTRIBUTE InitSim NUMERIC
@ATTRIBUTE ThreadSim NUMERIC
@ATTRIBUTE QuestionMark NUMERIC
@ATTRIBUTE Duplicate NUMERIC
@ATTRIBUTE FiveW1H NUMERIC
@ATTRIBUTE AbsPosition NUMERIC
@ATTRIBUTE NormPosition NUMERIC
@ATTRIBUTE PostLength NUMERIC
@ATTRIBUTE PostLengthUnique NUMERIC
@ATTRIBUTE PostLengthStemmed NUMERIC
@ATTRIBUTE PostLengthUniqueStemmed NUMERIC
@ATTRIBUTE UserPostCount NUMERIC
@ATTRIBUTE IsStarter NUMERIC
@ATTRIBUTE UserAuth NUMERIC
@ATTRIBUTE Thanks NUMERIC
@ATTRIBUTE ExclamationMark NUMERIC
@ATTRIBUTE NegativeFeedback NUMERIC
@ATTRIBUTE SentimentScoreProm NUMERIC
@ATTRIBUTE Class {1, 2, 3, 4, 5, 6, 7, 8}
@ATTRIBUTE postLengthFull NUMERIC
@ATTRIBUTE minNeg NUMERIC
@ATTRIBUTE promNeg NUMERIC
@ATTRIBUTE maxPos NUMERIC
@ATTRIBUTE promPos NUMERIC
@ATTRIBUTE PostThreadCount NUMERIC
@ATTRIBUTE NofiveW1H NUMERIC
@ATTRIBUTE NoQuestionMark NUMERIC
@ATTRIBUTE UserPostIniCount NUMERIC
@ATTRIBUTE UserPostReplieCount NUMERIC


@DATA
0,0.015917785703688,0.213183911180267,0.422366450894576,0,0,0,13,0.812500000000000,14,12,14,12,2,0,0.006996152420085,1,1,0,3,7,38,2,2,3,3,16,0,0,0,2
0,0.027273264449562,0.234086804619724,0.549783352044897,1,0,1,11,0.687500000000000,26,25,26,24,2,0,0.006996152420085,1,1,0,1,1,64,2,2,3,3,16,3,1,0,2
0,0.000000000000000,0.018981994500544,0.039563634503004,0,0,0,6,1.000000000000000,1,1,1,1,1,0,0.005105793251843,1,0,0,3,7,3,2,2,2,2,6,0,0,0,1
0,0.075803674772035,0.164511086240154,0.420221612260273,0,0,1,12,0.666666666666667,9,9,9,9,2,0,0.006996152420085,0,0,0,1,5,24,2,2,2,2,18,1,0,0,2
0,0.140749279174324,0.154481636141184,0.495527098136041,0,1,1,17,0.944444444444444,24,22,24,21,2,0,0.006996152420085,0,0,0,1,5,59,0,0,4,4,18,1,0,0,2
0,0.000000000000000,0.203186733203863,0.337736972746910,0,1,1,8,0.800000000000000,21,15,21,15,1,0,0.005105793251843,0,0,0,1,5,55,2,2,2,2,10,1,0,0,1
0,0.167480532776320,0.999999999999999,0.564723141683660,1,0,1,1,0.125000000000000,19,17,19,17,2,1,0.005105793251843,0,0,0,1,1,55,2,2,3,3,8,1,1,1,1
0,0.000000000000000,0.171503822711954,0.390969388058685,0,0,1,3,0.375000000000000,17,17,17,16,2,1,0.005105793251843,1,1,0,1,4,34,2,2,2,2,8,2,0,1,1
1,0.173878308942325,0.322098599325819,0.492054971786644,0,0,0,3,0.272727272727273,20,18,20,16,5,1,0.010776870756569,0,0,0,1,5,45,2,2,2,2,11,0,0,1,4
1,0.015851912537575,0.353374854117334,0.517920722379407,1,0,0,5,0.454545454545455,25,22,25,22,5,1,0.010776870756569,0,0,0,1,1,65,2,2,4,3,11,0,5,1,4
